LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,,88:52:EB:1D:49:FC,-27,,0.000000,0.000000,0.000,0.000,Client
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,,88:52:EB:1D:49:FC,-27,,0.000000,0.000000,0.000,0.000,Client
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:08,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-75, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,,88:52:EB:1D:49:FC,-29,,0.000000,0.000000,0.000,0.000,Client
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:09,1900-01-00 00:00:00,,88:52:EB:1D:49:FC,-27,,0.000000,0.000000,0.000,0.000,Client
2024-11-28 12:46:09,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:10,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,,88:52:EB:1D:49:FC,-31,,0.000000,0.000000,0.000,0.000,Client
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-51, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:11,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-45, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:12,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:13,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:13,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:13,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-41, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:13,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:13,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-11-28 12:46:13,1900-01-00 00:00:00,Redmi note10 pro,F2:F3:98:74:2C:1A,-39, WPA2 ,0.000000,0.000000,0.000,0.000,AP
